NIST 614 - 3
start:2334.58521
Time,206Pb,207Pb,208Pb,232Th,238U
0.0,0.0,0.0,125.000625,0.0,0.0
0.13322999999991225,0.0,0.0,0.0,0.0,0.0
0.26636999999982436,0.0,0.0,0.0,0.0,0.0
0.3993899999995847,0.0,0.0,0.0,0.0,0.0
0.5324699999996483,0.0,0.0,0.0,0.0,0.0
0.6655099999998129,0.0,15.87302595,0.0,0.0,0.0
0.7986200000000281,0.0,15.87302595,0.0,0.0,0.0
0.9316299999995863,0.0,0.0,0.0,0.0,0.0
1.0647299999995994,33.33337778,0.0,0.0,0.0,0.0
1.1979199999996126,0.0,0.0,0.0,0.0,0.0
1.3309999999996762,0.0,0.0,0.0,0.0,0.0
1.4640599999997903,0.0,0.0,0.0,0.0,52.63168975
1.5971700000000055,266.6695111,3968.88395,20642.02967,1375.075629,5527.537666
1.7301800000000185,25693.04486,42500.70119,127269.6206,12256.00544,35101.84806
1.8632599999996273,82001.42332,81758.57048,210889.0872,28532.52708,75914.03026
1.996349999999893,116372.526,108884.8786,265413.1653,46837.58629,110433.0413
2.129359999999906,129062.8669,115803.7886,269626.9192,62531.01488,136797.0958
2.262489999999616,123877.4652,102545.8922,255969.2483,74596.92585,154315.1036
2.3955399999999827,111696.8275,99137.60957,252525.2525,73968.20621,161776.983
2.528639999999996,111932.2527,96641.98963,229843.8777,78621.47833,164229.7097
2.6617699999997058,107090.1083,90708.8866,220426.5279,80131.0186,164069.7347
2.794930000000022,104972.2573,92035.99488,225007.063,86170.99738,169403.3315
2.9279899999996815,102821.1555,92195.89692,230098.4983,94606.66714,179116.2819
3.061159999999745,106484.9716,92243.86793,227043.3905,88310.85421,180985.0165
3.194369999999708,98486.46087,93011.42903,228188.9692,96873.93338,178422.2512
3.3275399999997717,102787.5474,88630.56538,224116.2731,92465.73624,177194.4443
3.460729999999785,103190.8499,91188.54809,210507.7396,87177.94335,175006.042
3.5938499999997475,101006.45,87671.45631,220426.5279,91332.45012,180077.3108
3.726929999999811,99897.59242,88039.10612,207838.6295,86548.59264,174899.3004
3.8600899999996727,101745.7427,87207.91322,213940.2833,87807.32564,178475.6368
3.993149999999787,102888.3718,89046.20208,226916.1104,97881.73878,182640.4131
4.126260000000002,105073.0993,93155.35196,227297.9546,90702.89095,191134.4178
4.259379999999965,105913.4803,92004.01472,214703.1977,89947.46165,175486.3904
4.392519999999877,101812.9533,90932.72635,220935.3941,92717.5915,183868.7512
4.525659999999789,98016.11895,85513.72902,213558.8434,87052.07069,172924.7441
4.6587499999996,98184.09618,88071.07618,222971.0642,89192.07784,184402.8486
4.791960000000017,101107.26,89957.4538,220426.5279,91584.28263,179062.8936
4.925069999999778,98990.41821,87799.33329,199834.6891,80885.85689,174845.9299
5.058219999999892,100233.5995,87991.15119,202121.0105,84534.88255,175593.137
5.191379999999754,100804.8322,88598.59389,210634.8542,88310.85421,176233.6354
5.324479999999767,98822.43018,91764.16609,231117.032,89066.18496,189958.8051
5.457589999999982,106653.0622,93683.08351,229589.2623,96747.9634,184936.9687
5.590709999999945,103258.0682,90564.99173,219663.2671,86422.72629,183868.7512
5.723729999999705,97982.52377,87431.69051,213431.6993,87303.81728,177941.7907
5.856829999999718,98486.46087,86760.37063,211778.9431,87933.20589,181999.5886
5.989919999999984,100334.4034,91636.2487,224243.5249,92339.8105,186005.2769
6.123059999999896,104468.0598,91348.43933,228061.6776,91332.45012,181252.0012
6.256149999999707,104131.9393,88886.34018,211906.0705,92591.66324,181252.0012
6.389310000000023,100166.3974,88198.95722,202883.2098,92087.96282,181946.188
6.522410000000036,98755.2356,86344.80966,205678.3352,85541.69719,180023.9184
6.655469999999696,100099.1956,87159.96147,222716.5875,94732.61562,182640.4131
6.7884799999997085,105342.0151,92355.801,215211.833,86926.19928,182159.7917
6.9214899999997215,100670.4222,89062.18838,216737.8619,86296.8612,183174.4584
7.054549999999836,103392.5059,86648.48747,211906.0705,88184.97017,176447.1422
7.1876399999996465,100972.8468,88758.45212,211270.4463,88184.97017,181785.9877
7.320729999999912,102014.5873,90453.07464,218264.0756,86548.59264,188729.8729
7.453739999999925,101880.1643,90820.80598,220426.5279,91080.62266,183708.5264
7.586869999999635,101140.8636,87223.89718,208601.1747,89695.66199,177141.0641
7.720010000000002,96974.71028,87351.76959,210253.5143,84660.72996,180504.4583
7.853020000000015,98251.28771,85817.38672,211906.0705,89192.07784,176500.5194
7.986030000000028,98486.46087,86440.70712,207965.7172,85667.5547,179596.7872
8.119129999999586,101812.9533,87096.02608,223989.0225,90451.07613,182854.0285
8.252259999999751,105913.4803,93874.9914,219536.0614,90073.36337,187340.7895
8.385319999999865,105442.86,92595.66094,213813.1354,98511.65826,185257.4517
8.51845000000003,106518.5895,90389.12246,215211.833,91710.20078,183548.3036
8.65150999999969,102451.4719,91332.45012,211778.9431,90828.80026,177514.7302
8.784629999999652,103123.6319,88886.34018,214321.7347,88940.29334,181412.1948
8.917729999999665,98049.71422,87959.18133,211778.9431,94102.88582,175166.1561
9.050789999999779,100704.0245,89941.46636,215466.1583,93851.00275,187287.3663
9.183909999999742,101174.4672,87495.62761,217119.398,95110.46868,185631.3587
9.317000000000007,102216.2245,88790.42401,224116.2731,91962.04088,184936.9687
9.45011999999997,105106.7134,90612.95651,219917.6822,90199.26636,186165.5309
9.583399999999983,104165.5509,89062.18838,207457.3742,90702.89095,186379.2061
9.716629999999896,99863.9922,87159.96147,209236.6643,87429.69248,182052.9894
9.849699999999757,98452.86444,86216.94752,214194.583,90702.89095,174579.081
9.98270999999977,100368.0049,87703.42544,199326.674,82018.19951,178582.4087
10.116009999999733,99225.60523,89429.87895,221189.8349,89569.76406,186058.6947
10.249059999999645,103829.4386,88646.55115,213940.2833,96496.02722,184189.207
10.382129999999961,102317.0443,90644.93312,215466.1583,92339.8105,186005.2769
10.515269999999873,100065.5948,88262.89823,215211.833,97377.82596,184135.7971
10.648299999999836,103661.3857,90309.1827,213813.1354,91584.28263,186859.9886
10.7814699999999,99931.19272,90357.1465,210253.5143,101031.6524,181412.1948
10.914679999999862,101510.5085,90213.25566,216865.0393,101157.6654,189905.3708
11.047869999999875,101443.2995,91588.28001,214576.0421,95740.24905,187447.6366
11.181169999999838,99964.79312,90053.37889,212287.4604,86674.46026,176820.7877
11.314269999999851,96907.52559,84778.58821,204915.9668,83653.98604,172764.6585
11.447379999999612,94052.5088,86280.87842,197294.8184,81766.55898,174579.081
11.580439999999726,101712.1376,87415.70628,208219.8963,89066.18496,177941.7907
11.713539999999739,98083.30957,84442.99477,214957.5128,89947.46165,175379.6447
11.846669999999904,98889.62512,90085.35408,215338.995,87429.69248,186325.787
11.979719999999816,103694.9961,89861.52945,219408.8571,92843.52103,183014.2425
12.11283000000003,99460.79665,92611.65177,220553.7425,91458.36574,188836.7318
12.245849999999791,106484.9716,91892.08479,216737.8619,89821.56119,187821.6087
12.378849999999602,100099.1956,87064.0585,202502.1044,89192.07784,186325.787
12.511919999999918,97008.30276,89078.1747,223989.0225,101913.7699,181679.1886
12.64507999999978,103661.3857,91860.10499,215466.1583,86674.46026,187287.3663
12.778189999999995,104064.7163,90740.86347,221317.0572,91458.36574,190065.6745
12.911200000000008,101342.4867,91460.36441,207965.7172,90325.17061,184082.3875
13.044309999999768,100670.4222,88374.79579,213304.5565,86296.8612,178155.3264
13.177419999999984,97310.63912,89046.20208,210126.4036,87807.32564,179223.0593
13.310499999999593,99527.99501,88566.62249,209617.9734,92087.96282,175166.1561
13.44371000000001,101409.6952,89094.16104,209363.7661,87303.81728,177888.4074
13.57672999999977,101040.0532,88135.01654,212160.3292,87429.69248,177995.1743
13.709739999999783,101980.9814,90261.21909,214957.5128,86422.72629,190172.5447
13.842749999999796,98486.46087,89749.61864,223352.7889,87303.81728,193111.832
13.975909999999658,102518.6863,89238.03904,212160.3292,87429.69248,179223.0593
14.108979999999974,103190.8499,88470.70877,209745.0791,92465.73624,184456.2596
14.241989999999987,97579.38866,88502.67993,218264.0756,89192.07784,179970.5262
14.375,101308.8827,89861.52945,206567.8233,87681.44666,185898.442
14.50821999999971,102115.4055,90676.90982,222716.5875,93976.94365,183388.0829
14.641329999999925,98990.41821,88135.01654,214067.4325,89947.46165,183388.0829
14.774519999999939,96403.65189,87639.48728,207711.5431,91206.53576,173831.9342
14.9077699999998,96504.42502,84554.85825,197421.7998,86674.46026,178208.7109
15.040929999999662,98083.30957,85417.83865,211778.9431,83528.14874,178475.6368
15.174139999999625,102048.1933,87239.88116,207076.1304,89821.56119,172391.1334
15.307239999999638,100569.6156,88822.39599,204407.7468,87807.32564,181412.1948
15.440299999999752,105207.5565,88358.81036,230480.4388,89821.56119,177674.8762
15.573409999999967,101913.7699,91876.09488,218264.0756,95236.42222,184883.5557
15.70654999999988,103594.1653,92771.56114,229971.1874,92717.5915,183388.0829
15.83965999999964,103224.459,93667.09132,213940.2833,90954.71083,189050.4523
15.972739999999703,102955.5885,87959.18133,215847.6559,93851.00275,176287.0118
16.105819999999767,100401.6064,87415.70628,214576.0421,83779.82461,176447.1422
16.238910000000033,97680.17123,87575.54944,215084.6723,91206.53576,187768.1834
16.371979999999894,99192.00681,90932.72635,211016.2056,94102.88582,185310.8663
16.505139999999756,101208.0709,89589.74777,214194.583,86548.59264,180290.8827
16.638369999999668,97478.60691,91092.61433,221825.9593,90325.17061,177674.8762
16.77157999999963,101275.2787,90836.79454,216737.8619,86926.19928,186913.41
16.904649999999947,98822.43018,89142.12019,213177.415,90073.36337,181358.7967
17.03782000000001,101073.6566,92035.99488,227934.3872,88184.97017,182480.2039
17.17090999999982,103661.3857,90868.77173,225770.6473,99267.60337,188729.8729
17.303979999999683,99057.61405,91316.46092,214576.0421,95362.37703,189691.6357
17.43706999999995,104804.1892,89030.21579,221189.8349,86800.32914,178262.0956
17.57019999999966,102115.4055,87048.07475,207838.6295,91206.53576,173565.1068
17.703340000000026,98217.6919,86408.74122,207457.3742,91458.36574,182213.1931
17.836519999999837,102317.0443,90101.34171,223734.5252,89821.56119,188836.7318
17.96965999999975,100771.2296,90405.11048,231880.9863,95740.24905,183494.8965
18.102859999999964,103930.2713,89765.60583,227043.3905,91206.53576,193646.3215
18.236009999999624,105005.8712,90836.79454,223225.5461,99393.59865,183708.5264
18.36914999999999,100804.8322,90517.02714,212668.8618,85667.5547,177568.1119
18.502359999999953,101107.26,89733.63146,213558.8434,91458.36574,174152.1346
18.635489999999663,102182.618,87255.86516,210761.9701,84534.88255,172764.6585
18.768589999999676,97277.04583,87255.86516,209109.5638,97755.75868,173138.1947
18.90166999999974,105577.3212,88198.95722,229334.652,89569.76406,189157.314
19.034679999999753,102417.8649,91012.67009,224116.2731,90828.80026,182159.7917
19.167789999999968,101947.3756,91700.20723,223989.0225,92717.5915,189851.9367
19.30089999999973,107594.4113,93251.3015,220299.3145,92717.5915,182373.3989
19.43396999999959,100031.9942,88614.57962,218264.0756,93976.94365,176233.6354
19.567199999999957,102317.0443,88550.63682,214448.8878,91206.53576,187394.2129
19.700239999999667,103863.0494,89941.46636,220553.7425,91458.36574,182800.6243
19.83331999999973,102317.0443,88310.85421,216737.8619,99141.60936,180664.6423
19.966489999999794,101510.5085,88007.13614,204026.5953,92087.96282,176447.1422
20.10055999999986,99729.59225,86025.15674,197802.7516,88059.0874,173618.4718
20.23371999999972,98251.28771,86041.1392,204153.6445,80760.04735,181145.2067
20.366849999999886,101880.1643,87431.69051,218264.0756,88059.0874,178849.3425
20.500069999999596,100334.4034,87959.18133,217755.3172,92087.96282,187447.6366
20.633100000000013,102854.7636,90772.84041,230225.8105,93851.00275,191134.4178
20.766290000000026,102249.831,92691.6062,213050.2748,91962.04088,178208.7109
20.899479999999585,101779.348,86424.72416,206059.5367,86045.13481,177621.4939
21.0327199999997,96907.52559,85433.82033,213050.2748,88814.40299,175860.0074
21.16585999999961,98990.41821,88422.75219,218264.0756,92087.96282,184723.318
21.298999999999978,103190.8499,90740.86347,230098.4983,94984.51639,180664.6423
21.43209999999999,104568.8976,89893.50415,226916.1104,87681.44666,182266.5948
21.5652299999997,99931.19272,91572.29049,223225.5461,90199.26636,182587.0098
21.698329999999714,106720.2991,90549.00351,229080.0468,82018.19951,177674.8762
21.83140000000003,102485.0791,87927.21156,220172.1025,87052.07069,184936.9687
21.964449999999943,103728.6066,91268.49346,214957.5128,92717.5915,185097.2092
22.097479999999905,105342.0151,94770.60034,230098.4983,93221.31719,188035.312
22.230499999999665,107863.3811,93171.3435,227552.5238,89947.46165,191455.0584
22.363640000000032,103459.7253,91780.15586,219790.474,97881.73878,189371.04
22.497539999999844,101980.9814,88854.36804,214321.7347,90828.80026,174418.9744
