AHX-1D - 2
start:1322.54511
Time,206Pb,207Pb,208Pb,232Th,238U
0.0,0.0,0.0,0.0,0.0,0.0
0.1330800000000636,0.0,15.87302595,0.0,0.0,0.0
0.26612999999997555,33.33337778,15.87302595,0.0,0.0,52.63168975
0.3993199999999888,0.0,15.87302595,0.0,0.0,0.0
0.5323799999998755,33.33337778,0.0,0.0,0.0,0.0
0.6655399999999645,0.0,0.0,125.000625,0.0,0.0
0.7986000000000786,0.0,0.0,125.000625,0.0,0.0
0.9317599999999402,0.0,15.87302595,0.0,0.0,52.63168975
1.0648799999999028,33.33337778,0.0,0.0,0.0,52.63168975
1.198030000000017,33.33337778,31.74607206,125.000625,0.0,21175.81616
1.3311799999999039,1700.115608,523.8204991,2125.18064,0.0,144834.2453
1.4643899999998666,6935.256711,2317.675162,4625.855783,125.000625,311032.6262
1.5975699999999051,14007.84439,3079.744426,5876.38095,0.0,430443.7211
1.7307000000000698,16143.75143,3460.796478,6376.62604,0.0,537414.7319
1.8637300000000323,16711.16306,2968.606431,4500.810146,250.0025,545435.3803
1.9968999999998687,17579.01886,2301.799213,3750.562584,125.000625,549997.3105
2.1300599999999577,16744.54101,1873.156211,1875.140636,125.000625,582637.8446
2.2631300000000465,18981.06697,2063.662398,2500.250025,0.0,591403.8744
2.396150000000034,16377.3884,2603.445692,5251.102732,0.0,601114.1605
2.5293400000000474,17378.7391,2762.20992,3250.422555,0.0,603984.519
2.6624400000000605,17912.82558,3095.621363,4750.902672,125.000625,600396.6714
2.7954999999999472,17812.68263,2682.827554,3625.525701,0.0,614864.6025
2.9286299999998846,15609.74048,2238.295619,3000.360043,0.0,616798.5797
3.061719999999923,16243.88103,1904.907041,2375.225646,0.0,609285.3338
3.194829999999911,17645.77949,2031.911165,1625.105632,250.0025,607021.1757
3.3280399999998735,16811.29719,1730.278476,1875.140636,0.0,615196.1207
3.4611500000000888,16677.78519,1555.652352,1625.105632,125.000625,608677.8374
3.5942999999999756,16611.02972,1444.527906,1250.062503,250.0025,612433.7312
3.7275500000000648,15576.36555,1190.532883,1500.090005,0.0,626417.5455
3.8606399999998757,16811.29719,1396.903446,1625.105632,125.000625,623597.4452
3.993729999999914,16677.78519,1666.777785,1125.050627,125.000625,615417.1376
4.126819999999952,18580.46576,1174.658365,750.0225007,125.000625,619672.4565
4.259890000000041,15509.61596,1095.286079,1500.090005,0.0,619783.0031
4.3929699999998775,16477.51986,920.6688246,1250.062503,0.0,622436.4078
4.526110000000017,16677.78519,1047.66295,625.0156254,125.000625,634715.5572
4.659200000000055,15809.99191,1301.65507,750.0225007,250.0025,625090.3622
4.792230000000018,16344.01142,1254.031155,1250.062503,375.0056251,631561.6798
4.925469999999905,15843.36747,1238.156556,1875.140636,125.000625,635490.3125
5.058809999999994,17545.63867,1142.90939,750.0225007,375.0056251,635490.3125
5.192019999999957,16677.78519,1047.66295,375.0056251,250.0025,635324.2896
5.3250399999999445,15042.37882,1063.537306,875.0306261,0.0,630565.8797
5.458120000000008,15509.61596,1222.281978,500.0100002,0.0,621441.3167
5.591210000000046,16844.67541,1111.160496,750.0225007,375.0056251,619838.2768
5.724339999999984,16544.27461,1269.905773,750.0225007,0.0,620556.8561
5.857449999999972,16210.50441,1142.90939,625.0156254,125.000625,598575.5336
5.9905200000000605,15075.75232,1095.286079,375.0056251,0.0,611494.6545
6.123589999999922,15776.61645,1031.788613,625.0156254,0.0,599182.5507
6.25669999999991,14708.64869,888.920495,500.0100002,125.000625,579772.27
6.389799999999923,15042.37882,730.1800561,625.0156254,250.0025,587102.8074
6.522819999999911,17579.01886,968.2914703,625.0156254,125.000625,593168.833
6.655860000000075,15576.36555,1015.914297,375.0056251,250.0025,594658.2062
6.7889900000000125,16544.27461,1063.537306,625.0156254,0.0,599789.5967
6.9220000000000255,14875.51264,1015.914297,500.0100002,0.0,586937.4106
7.055029999999988,14875.51264,809.5500235,375.0056251,125.000625,593830.7553
7.1881699999999,16110.37508,841.2981516,1000.040002,0.0,601610.9073
7.321179999999913,16577.65212,1349.279167,250.0025,125.000625,586882.2788
7.454230000000052,15976.87056,1127.034933,1500.090005,125.000625,609174.8778
7.587399999999889,16477.51986,904.7946497,625.0156254,375.0056251,605861.6399
7.720460000000003,16510.89719,1158.783867,1375.075629,0.0,590631.7815
7.853470000000016,15743.24108,1111.160496,375.0056251,125.000625,605475.1514
7.986499999999978,16410.76546,984.1657259,250.0025,125.000625,613207.1402
8.119660000000067,15409.49225,1365.153907,250.0025,125.000625,616135.4689
8.25285000000008,15476.2413,1079.411683,1125.050627,250.0025,623376.2871
8.385899999999992,15843.36747,1031.788613,750.0225007,0.0,626638.7561
8.519060000000081,15643.11549,1412.778246,1125.050627,125.000625,628629.8233
8.652119999999968,15776.61645,1666.777785,1125.050627,0.0,642077.6237
8.785180000000082,17912.82558,1317.529749,2000.160013,0.0,643904.9567
8.918349999999919,15776.61645,1317.529749,2000.160013,250.0025,644181.848
9.051519999999982,16177.12788,1508.027468,1250.062503,250.0025,635379.6303
9.18473999999992,17412.11883,1508.027468,1625.105632,125.000625,653156.3644
9.317919999999958,17378.7391,1460.402766,1000.040002,250.0025,635711.6797
9.451000000000022,17145.08343,1444.527906,2125.18064,125.000625,640748.8178
9.584149999999909,18680.61486,1301.65507,1500.090005,0.0,625864.5357
9.717269999999871,15609.74048,1714.403273,3000.360043,0.0,632004.2824
9.850369999999884,17378.7391,2762.20992,8002.560819,125.000625,635102.929
9.983449999999948,21251.38284,4032.396336,10754.62449,125.000625,627468.3298
